State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Assam,Barpeta,Barpeta Road,Capsicum,Capsicum,Local,15-09-2024,2000,2500,2200
Assam,Barpeta,Barpeta Road,Tomato,Tomato,Local,15-09-2024,2500,2800,2700
Assam,Cachar,Sonabarighat,Tomato,Tomato,Local,15-09-2024,3700,3800,3700
Assam,Kamrup,Pamohi(Garchuk),Lemon,Lemon,Local,15-09-2024,733.7,933.8,867.1
Assam,MORIGAON,Jagiroad Dry Fish Market,Brinjal,Brinjal,Local,15-09-2024,2000,2400,2200
Assam,Nagaon,Haibargaon,Cabbage,Cabbage,Local,15-09-2024,2000,2200,2200
Assam,Nalbari,Kumrikata,Bhindi(Ladies Finger),Bhindi,Local,15-09-2024,2000,2400,2000
Assam,Nalbari,Kumrikata,Bitter gourd,Bitter Gourd,Local,15-09-2024,1500,1600,1600
Assam,Nalbari,Kumrikata,Green Chilli,Green Chilly,Local,15-09-2024,8000,10000,9000
Assam,Nalbari,Kumrikata,Pumpkin,Pumpkin,Local,15-09-2024,1500,2000,2000
Assam,Sibsagar,Sibsagar,Lemon,Lemon,Local,15-09-2024,667,767.05,767.05
Assam,Sibsagar,Sibsagar,Pumpkin,Pumpkin,Local,15-09-2024,1800,2100,2000
Bihar,Kishanganj,Bahadurganj,Potato,Jyoti,FAQ,15-09-2024,2400,2600,2500
Bihar,Madhepura,Murliganj,Onion,White,FAQ,15-09-2024,3000,4000,3500
Chattisgarh,Bilaspur,Tiphra,Beetroot,Beetroot,FAQ,15-09-2024,5500,5700,5600
Chattisgarh,Bilaspur,Tiphra,Bhindi(Ladies Finger),Bhindi,FAQ,15-09-2024,1500,1700,1600
Chattisgarh,Bilaspur,Tiphra,Drumstick,Drumstick,FAQ,15-09-2024,2800,3000,2900
Chattisgarh,Bilaspur,Tiphra,Lemon,Lemon,FAQ,15-09-2024,9300,9500,9400
Chattisgarh,Bilaspur,Tiphra,Potato,Other,FAQ,15-09-2024,2200,2400,2300
Chattisgarh,Kondagaon,Kondagoan,Paddy(Dhan)(Common),Paddy Coarse,FAQ,15-09-2024,1800,1850,1825
Chattisgarh,Raigarh,Raigarh,Tomato,Other,FAQ,15-09-2024,2200,3000,2600
Gujarat,Amreli,Damnagar,Ginger(Green),Green Ginger,FAQ,15-09-2024,3200,4050,3750
